000101 00000000000000000000000001		96		B		#1  
1001000100 000000000000 00000 00001		100		ADDI	R1, R0, #0
10110100 0000000000000000001 00001		104		CBZ		R1 #1
1101000100 000000000100 00000 00001		108		SUBI	R1, R0, #4
10110101 0000000000000000001 00001		112		CBNZ	R1 #1
11111110 110 11110 11111 11111 100111	116		BREAK	   
11111111111111111111111111111111		120		-1	   
11111111111111111111111111111111		124		-1	   
11111111111111111111111111111111		128		-1	   
11111111111111111111111111111111		132		-1	   
11111111111111111111111111111111		136		-1	   
11111111111111111111111111111111		140		-1	   
11111111111111111111111111111111		144		-1	   
11111111111111111111111111111111		148		-1	   
11111111111111111111111111111111		152		-1	   
11111111111111111111111111111111		156		-1	   
11111111111111111111111111111111		160		-1	   
